Product Name,brand,details,Price,Old Price,image URL,is_from_official_store,items_left
Nice & Lovely Olive Heat Protect Hair Food 300ml,,,KSh 262,KSh 430,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,15 items left
"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",,,"KSh 17,699","KSh 35,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
Hisense REF094DR - 94 Liters Fridge - Silver  (2YRs WRTY),,,"KSh 18,299","KSh 23,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,67 items left
"Starlink Standard Kit: High-Speed, Low-Latency Internet with Gen 3 Router, Wi-Fi 6",,,"KSh 39,999","KSh 69,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Exe Exe Chapati 2Kg,,,KSh 176,KSh 185,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,19 items left
Stereo Inductivv Bone Conduction Earphones Wireless Earbuds Bluetooth Sports Headphones,,,KSh 319,KSh 961,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,73 items left
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz",,,KSh 781,"KSh 1,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Sosoft Fabric Softener Baby - 750ml,,,KSh 243,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,21 items left
"Luminous Wolf Necklace, Gothic Wolf Pendant, Night Fluorescence",,,KSh 340,KSh 650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,19 items left
"Hisense 58” 4K ULTRA UHD SMART FRAMELESS TV, YOU TUBE, NETFLIX-BLACK",,,"KSh 54,799","KSh 112,599","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,7 items left
Amara Amara Shower Gel Pamper Lilac - 600ml,,,KSh 490,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,16 items left
Vaseline Men Fast Absorbing Lotion 200ml + FREE Petroleum Jelly,,,KSh 310,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,16 items left
Nice & Lovely Olive & Amla Styling Gel 295g,,,KSh 226,KSh 370,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,32 items left
Sunlight Sunlight Scourer Lavender 1Kg,,,KSh 115,KSh 160,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,5 items left
NIVEA 5 In 1 Complete Care Nourishing Cocoa Body Lotion With Cocoa Butter & Vitamin E - 400ML,,,KSh 576,KSh 640,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,12 items left
Danny Home 6 Pcs Red Porcelain Cup And Saucer. (Stb14-2 (2),,,KSh 999,"KSh 3,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,3 items left
Hisense Top Loader Washing Machine (WTJA1402T)14kg,,,"KSh 55,389","KSh 65,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,9 items left
Dettol Dettol Multi Action Cleaner Aqua 900ml,,,KSh 691,KSh 750,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,10 items left
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black (2YRs WRTY)",,,"KSh 11,799","KSh 14,696","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Adjustable Breathable Sports Cap Sunscreen Baseball Cap Boy Snapback Hat,,,KSh 516,KSh 599,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,45 items left
"Amtec 32R1S, 32"" Inch Smart Android Frameless LED TV With Bluetooth,  (1YR WRTY).",,,"KSh 10,330","KSh 13,451","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,45 items left
Vaseline Dry Skin Repair Moisturizing Lotion For Very Dry Skin 400ml,,,KSh 550,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,14 items left
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),,,"KSh 27,500","KSh 43,995","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Black ",,,"KSh 8,445","KSh 10,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
AXIS - Y Dark Spot Correcting Glow Serum-50ml,,,"KSh 2,500","KSh 3,800","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,7 items left
Jacob's Creek Jacob's Creek Classic Chardonnay - 750ml,,,"KSh 1,208","KSh 1,439","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,77 items left
Hostess Hostess Maize Meal 2kg,,,KSh 180,KSh 195,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,19 items left
Rashnik Generic 3D Fantastic Blue White Roses Printed Rugs 53485,,,KSh 772,KSh 840,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,10 items left
Absolut Absolut Mango Flavored Vodka - 750ml,,,"KSh 2,199","KSh 2,615","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,17 items left
"Softcare Gold Diaper High Count, Size M, 42 Count",,,KSh 748,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,2 items left
Ramtons RF/339-2 Door Direct Cool 138lt Silver,,,"KSh 28,499","KSh 37,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,84 items left
Nice & Lovely Avocado Lotion 200ml,,,KSh 117,KSh 175,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,43 items left
Nice & Lovely Aloe Vera Herbal Lotion 600ml,,,KSh 334,KSh 445,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,24 items left
Utarudi GS80 HD Round Screen Smart Watch Fashionable Dial Health Monitor IP68 Waterproof 7-10 Day Battery,,,"KSh 2,499","KSh 4,299","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,15 items left
Dettol Dettol Bathing Soap Original 90g,,,KSh 71,KSh 300,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,30 items left
Sundabest 6 Pcs Clear Glass Mug Set (11877),,,"KSh 1,023","KSh 1,170","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,61 items left
ACE Powermax Liquid Toilet Cleaner - 500ml,,,KSh 235,KSh 273,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,10 items left
Jameson Jameson Irish Whiskey - 750 Ml,,,"KSh 2,930",NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Harpic Harpic Toilet Cleaner: Lemon 1000ml,,,"KSh 1,006","KSh 1,150","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,10 items left
Nice & Lovely Perfumed Petroleum Jelly 100G,,,KSh 120,KSh 240,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,28 items left
"Samsung A05, 6.7"", 4GB RAM + 64GB, 5000mAh, Black  (1YR WRTY)",,,"KSh 9,899","KSh 12,516","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,24 items left
"Itel S24, 6.6'', 128GB + 4GB (Extended UPTO 8GB) RAM, 5000mAh, Starry Black (1YR WRTY)",,,"KSh 8,799","KSh 14,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Aptamil Aptamil Baby Formula 400gms (No. 2),,,"KSh 1,083","KSh 2,165","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,16 items left
Dove Beauty Bar Fresh Touch 90G,,,KSh 135,KSh 250,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,42 items left
Omo Fast Action Hand Washing Powder 1 Kg,,,KSh 362,KSh 400,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,9 items left
Rashnik Bath Mat Non-slip Quick Dry Polyester Granite Surface Show -dark Grey  53482,,,KSh 518,KSh 564,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,16 items left
